"File","Name","Hits","ExternalHits"
".\backend\src\privacy-requests\privacy-requests.service.ts","privacy-requests.service","20","17"
".\backend\src\profiles\profiles.controller.ts","profiles.controller","9","6"
".\backend\src\profiles\profiles.module.ts","profiles.module","9","6"
".\backend\src\profiles\profiles.service.spec.ts","profiles.service.spec","4","1"
".\backend\src\profiles\profiles.service.ts","profiles.service","17","14"
".\backend\src\pts\pts.controller.spec.ts","pts.controller.spec","5","2"
".\backend\src\pts\pts.controller.ts","pts.controller","17","14"
".\backend\src\pts\pts.module.ts","pts.module","12","9"
".\backend\src\pts\pts.service.pagination.spec.ts","pts.service.pagination.spec","4","1"
".\backend\src\pts\pts.service.spec.ts","pts.service.spec","49","46"
".\backend\src\pts\pts.service.ts","pts.service","74","71"
".\backend\src\push\push.controller.ts","push.controller","9","6"
".\backend\src\push\push.module.ts","push.module","9","6"
".\backend\src\push\push.service.spec.ts","push.service.spec","21","18"
".\backend\src\push\push.service.ts","push.service","32","29"
".\backend\src\queue\bull-board.module.ts","bull-board.module","11","8"
".\backend\src\queue\bull-queue-shutdown.service.ts","bull-queue-shutdown.service","9","6"
".\backend\src\queue\default-job-options.ts","default-job-options","16","13"
".\backend\src\queue\dlq-retention.service.ts","dlq-retention.service","9","6"
".\backend\src\queue\queue-monitor.service.ts","queue-monitor.service","9","6"
".\backend\src\queue\queue-services.module.ts","queue-services.module","10","7"
".\backend\src\queue\redis-disabled-queue.spec.ts","redis-disabled-queue.spec","12","9"
".\backend\src\queue\redis-disabled-queue.ts","redis-disabled-queue","29","26"
".\backend\src\queue\redis-queue-infra.util.ts","redis-queue-infra.util","15","12"
".\backend\src\rbac\rbac.module.ts","rbac.module","10","7"
".\backend\src\rbac\rbac.service.spec.ts","rbac.service.spec","4","1"
".\backend\src\rbac\rbac.service.ts","rbac.service","31","28"
".\backend\src\rbac\rbac-review.service.ts","rbac-review.service","9","6"
".\backend\src\rbac\rbac-warmup.service.spec.ts","rbac-warmup.service.spec","4","1"
".\backend\src\rbac\rbac-warmup.service.ts","rbac-warmup.service","14","11"
".\backend\src\rdos\rdo-audit.service.ts","rdo-audit.service","11","8"
".\backend\src\rdos\rdos.controller.spec.ts","rdos.controller.spec","5","2"
".\backend\src\rdos\rdos.controller.ts","rdos.controller","17","14"
".\backend\src\rdos\rdos.module.ts","rdos.module","11","8"
".\backend\src\rdos\rdos.service.spec.ts","rdos.service.spec","12","9"
".\backend\src\rdos\rdos.service.ts","rdos.service","29","26"
".\backend\src\reports\pdf.processor.spec.ts","pdf.processor.spec","4","1"
".\backend\src\reports\pdf.processor.ts","pdf.processor","15","12"
".\backend\src\reports\reports.controller.spec.ts","reports.controller.spec","4","1"
".\backend\src\reports\reports.controller.ts","reports.controller","25","22"
".\backend\src\reports\reports.module.ts","reports.module","21","18"
".\backend\src\reports\reports.service.spec.ts","reports.service.spec","28","25"
".\backend\src\reports\reports.service.ts","reports.service","54","51"
".\backend\src\reports\reports.worker.module.ts","reports.worker.module","9","6"
".\backend\src\reports\reports-query-hardening.spec.ts","reports-query-hardening.spec","4","1"
".\backend\src\risks\risks.controller.ts","risks.controller","10","7"
".\backend\src\risks\risks.module.ts","risks.module","10","7"
".\backend\src\risks\risks.service.cache.spec.ts","risks.service.cache.spec","4","1"
".\backend\src\risks\risks.service.ts","risks.service","17","14"
".\backend\src\seed\seed.service.spec.ts","seed.service.spec","4","1"
".\backend\src\seed\seed.service.ts","seed.service","14","11"
".\backend\src\service-orders\service-orders.controller.ts","service-orders.controller","10","7"
".\backend\src\service-orders\service-orders.module.ts","service-orders.module","10","7"
".\backend\src\service-orders\service-orders.service.spec.ts","service-orders.service.spec","12","9"
".\backend\src\service-orders\service-orders.service.ts","service-orders.service","25","22"
".\backend\src\signatures\public-signatures.controller.spec.ts","public-signatures.controller.spec","4","1"
".\backend\src\signatures\public-signatures.controller.ts","public-signatures.controller","14","11"
".\backend\src\signatures\signature-proof.util.ts","signature-proof.util","11","8"
".\backend\src\signatures\signatures.controller.spec.ts","signatures.controller.spec","8","5"
".\backend\src\signatures\signatures.controller.ts","signatures.controller","29","26"
".\backend\src\signatures\signatures.module.ts","signatures.module","13","10"
